,index,content
308,311,kuch khaas nhi hai yaar snap
309,312,haan download kiya
310,313,waise instagram toh hai hi
311,314,haan woh toh allowed hoga na
312,315,mereko le chalo
313,316,pancho mereko ghar jaana hai
314,317,mathgames bhi band hai
315,318,seniors ne chutiya banaya
316,319,torrent blocked hai
317,320,pancho games nhi chalrhe
318,321,woh nalle pankhe hai
319,322,pure lab mein ek hi pankha
320,323,pankha dekho panchoi
321,324,abe toh data structures toh dsa hi hai na
322,325,sab anime dekh rhe pancho
323,326,tumlogo ka bhi dsa start hogaya
324,327,personality development
325,328,but dikhte nhi hai yaar
326,329,hai bahut hai
327,330,pancho shi hai
328,331,pancho professors bunk karte hai
329,333,har hafte ek din off kar sakte hai
330,334,maine calculate kiya hai
331,335,classes nhi hoti hai kya teri bc
332,336,aur ek aaya nhi abhi tak
333,337,ek pura din pada rehta hai bistare mein
334,338,abe mere roommates chumtiye hai
335,339,bas so nhi raha
336,340,sab kar raha
337,341,unke saath khana khana
338,342,betichod kabhi bhi baatish ho jaati hai bc
339,343,mereko cry aara hai
340,344,online best hai
341,345,offline mein padhayi nhi ho paayegi yaar
342,346,bhai tu shi kehta tha
343,347,same goes for u
344,348,but co ed hai
345,349,isiliye band kar diya
346,350,bina permission
347,351,nearby town ka bolkar
348,352,ye chutiye seniors
349,353,nearby town mein bhi nhi jaane dete
350,354,ghar ki yaad aari hai yaar
351,355,aagaya kya
352,356,yhi dikkat hai
353,357,bhalo nhi chalega bas
354,358,i will surely
355,359,ek ghaziabad ka hi hai
356,360,ek punjab ka
357,361,itni aa rhi hai
358,362,aur kya chahiye
359,363,sab milakar keh raha tha
360,364,sab milakar keh raha tha
361,365,mess ka khana thusne ke baad pachani ki tayiyaari
362,366,mil jaayega
363,367,baat toh shi hai
364,368,aur kya chahiye jindagi mein
365,369,aur co ed hostel
366,370,aur kya chahiye
367,371,aur kya chahiye jindagi mein
368,372,but ac ki jarurat nhi hai
369,373,aate hi baarish ho gyi pancho
370,374,finally reached kochi
371,375,yaha village mein bhi sabke paas ac aur ek suv hai
372,376,mai abhi kerela mein hun
373,377,sab uda do pancho
374,378,pancho ye meri train itna ghum ghum ke kyu jaa rahi hai
375,379,kerela ghumne jaa rahe hai delhi se
376,380,should i post this in nsfw pics
377,381,paani nhi dikhayi de raha hai
378,382,kitna sukha hai rajasthan
379,383,infact no life
381,385,maybe in a month
382,386,i am gonna miss u all
383,387,i lob u all
384,388,thanks browskies
385,389,and i came across this
386,390,i was looking for a pendrive in flipkart
387,391,saale aaj toh aaja plis
388,392,kal bank bhi jaana hai
389,393,parso ki train hai
390,394,shaam ko karte hai
391,395,mai kolej shopping ke liye jaa raha hun
392,396,shaam ka kar de
393,397,aacha nhi lagta
394,398,yaar bro mat bola kar aise
395,399,decathlon ka saaman hai
396,400,direct kolej
397,401,aur subah ko nikal jaaunga ola se
398,402,toh mai soch raha walking distance pe ek hotel book kar lunga
399,403,safe hai but raat ko nayi jagah mein travel karna avoid karna chahiye
400,404,yeah they are saying that
401,405,batao safe hai kya
402,406,bahut kam hai
403,407,kyuki bus services hai hi nhi kerela mein
404,408,bus se nhi jaa sakta
405,409,mai kerela ki baat kar raha
406,410,bhai rajdhani hai toh dikkat nhi hai
407,411,pitaji ko kaam aagaya toh isiliye mai akele jaa raha hun
408,412,safe hai kya
409,413,bros mai akele jaa raha
410,414,betichod tereko kya dikkat hai be
411,415,chala jaa bhosdike
412,416,i am gonna miss u all
413,417,peer pressure
414,418,dekhna padega
415,419,amphitheatre mein jaake speaker laeke
416,420,woh toh mai khud dekhunga
417,421,anime dikhake hi chodenge mereko
418,422,kyuki peer pressure lol
419,423,infact dekhna padega
420,424,thats why i said ki kalej mein jaake dekhunga
421,425,mom dad dekhenge ki chipka hua hun pura din laptop se toh ghar se nikal denge
422,426,itna vella thodi hun mai
423,427,har hafte movie nights mein mere kalej ke bakchod bacche anime dekhne ke alawa aur karenge bhi kya
424,428,kalej jaake dekhna hi padega
425,429,time nhi hai na yaar
426,430,anime aur cartoon mein kya difference hai
427,431,karlo bas mera naam nhi aana chahiye
428,432,mai college gaya bhi nhi aur aagaya mail
429,433,are tu chup ho jaa yaar
430,434,metro costs more
431,435,theek hai bhay
432,436,thoda toh flex maarne de yaar
433,437,mereko pata tha yahi bolega tu
434,438,us moment bhay
435,439,i see how u are frustated with ur iit life
436,440,kyuki girunga toh seedha khaayi mein jaaunga
437,441,and then death
438,442,aur bhai bahut sasta hai ye toh
439,443,mai kottayam ke expenses check kar raha tha
440,444,chirand lol
441,445,aah tounge twister
442,446,dumb iitians
443,447,jaada toxic ho ra
444,448,tu jaa bsdk
445,449,chalo bakchodi karte hai
446,450,i can understand
447,451,jisko dikkat hai woh jaake maa chudaye
448,452,mai kyu vegetarian banu
449,453,bana liya vro
450,454,toh lock ho jaaunga toh bhi koi dikkat nhi
451,455,co ed hai mera
452,456,shawshank redemption
453,457,deewar tap ke jaana padega
454,458,lekin bc jaane nhi denge na
455,459,aur cinema bahut sasti hai bc waha kottayam mein
456,460,aur college ka auditorium mein dekhenge toh bc sab aajaayenge dekhne
457,461,koi bahar nhi jaayega
458,462,i mean saare bacche jab aa jaayenge toh lock campus
459,463,cuz kerela mein govt order hai
460,464,bahar nhi jaa sakte
461,465,yahi chal leta hun tum logo ke saath
462,466,waha toh dekh nhi paaunga
463,467,mera college toh band hogaya bc
464,468,dekhne chalte hai
465,469,tum jaao yaar
466,470,i am shaitaan
467,471,jawab hi nhi dete hai
468,472,yaar ye mere college ke bacche kitne chutiye hai yaar
469,473,kaunsa elon musk ban jaaunga mai
470,474,are bhaad mein jaaye neend
471,475,valo aayega
472,476,cheating bhi toh karni hai
473,477,so leta hun
474,478,kal paper hai
475,479,tabhi toh bola
476,480,bhola ko english mein kya bolte hai pata nhi
477,481,u are bhery bhola
478,482,waise bhi woh patna se hai
479,483,nhi bhai aise waise kaam nhi karta
480,484,direct packed package
481,485,pehle college toh chale jaa
482,486,tu kya bol rha hai be tereko toh pata bhi nhi ki tereko kabhi college jaane ko milega ki bhi nhi
483,487,i have unlike u
484,488,she is friend
485,489,bana li hai bro
486,490,yaar mere yaha toh co ed hai
487,491,that is a plus point
488,492,ghar aur hostel mein phayeda pharak kya
489,493,agar ghar jaiosa hi feel hota hai toh
490,494,boring roomate hai phir toh
491,495,ghar aagaya tu
492,496,online toh humnein bahut bakchodi kari hao
493,497,this is the only anime thing i loved
494,498,drop nhi lene diya yaar mereko
495,499,itna mat soch
496,500,tabhi toh advertise nhi kiya
497,501,kgp ne kya kiya
498,502,atleast we have acs
499,503,abhi dheere dheere banra
500,504,woh milra hai govt se
501,505,iiitk ke is achievement ke baare mein
502,506,kya kehte hai aap
503,507,maza nhi aata
504,508,but campus life nhi hai yaar
505,509,iiit placement wise aur academically acche hai
506,510,haan sih winner hai
507,511,bruh iiit aur iit mein pharak hota hai
508,512,kuch kuch ko chodke
509,513,net pe search kar is  saal saare iiits ka placement surge aaya hai
510,514,iiit kottayam
511,515,mera college bruhh
512,517,ek bhaiya ko mere college ke off campus mein job lagi
513,518,guys gajab hogaya
514,519,reality is bhery bhery depressing
515,520,ye sab kya hai bc
516,521,yahi hota hai na
517,522,like depression
518,523,baccho ki problems ka satyanaash karna
519,524,haan haan samajh gaya
520,526,groom matlab shaadi jiski hoti hai woh ladka
521,527,i am thinking that
522,528,proposal accepted
523,530,aiyo this was my coaching centre
524,531,thats why mai legit companies mein apply nhi kar paa raha hun
525,532,dikkat ye hai ki mereko react nhi aata hai
526,533,samajh nhi aara hai
527,534,before the internship
528,535,but there is a problem
529,536,from a company in kerela
530,537,guys i got a paid remote web development internship
531,538,jaada nhi hogaya ye
532,539,bc kya hai ye
533,540,this looks so familiar to me
534,542,someone suggest me a very good open world game to play
535,543,this is iit
536,544,i am not going to give end sems offline
537,545,after end sem
538,546,in a month
539,547,i am glad ki north indian food hai
540,548,bas torrents nhi chalte
541,549,nho ott aur games chalte hai mere college mein
542,550,chalo ek manoranjan ka shroth toh hai
543,551,this song is very nice though
544,552,why i am rick rolled everytime
546,554,disneyhotstar kahi se free milega kya
547,555,our electronics teacher says
548,556,we dont have bio
549,557,same for french
550,558,woh bhi pure sem mein ek ppt
551,559,creating ppts
552,560,our english lab is
553,561,iit is noice
554,562,aur pikachu
555,563,bas wohi aachi lagti thi
556,564,i liked the girl in that
557,565,aye pokemon
558,566,u wont be able to do that
559,567,i totally agree with that
560,568,yaar fests wagehra kuch nhi hota hai
561,569,academically bahut tagda hai
562,570,crowd accha nhi hai
563,571,just for crowd
564,572,not location
565,573,aur agar mai kahu ki mera hi college hai toh
566,574,guess the kaleej
567,575,complain kardengi
568,576,aur mai unko approach nhi karunga
569,577,topper toh sab ladkiya hai
570,578,help kardena bois
571,579,tab thoda sa chill ho jaayega academics
572,580,but mai bhi nhi lunga
573,582,aur hum yaha abhi bhi prime numbers ka code likh rahe hai lmao
574,583,ooho vaidhya is doing noice things
575,584,and focusing on sketching
576,585,i was tghinking about watching movies
577,586,but my heart says no
578,587,my mind says yes
579,588,this is nothing compared to my college prof savageta
580,589,pls someone do
581,590,for lifetime atleast
582,591,tu chup baith yaar
583,592,bahut bada mauka haath se nikal jaayega
584,593,cuz nhi toh gadbad ho jaayegi
585,594,kyu nhi hota hai kya
586,595,pvt bank account nhi hai
587,596,aur koi hai hi nhi
588,597,neft se payment karni hai
589,598,online ho jaayega
590,599,kaha se karu
591,600,boi ka net banking on karna hai
592,601,netbanking on karni padegi kya
593,602,mereko bas upi wala aata hai
594,603,aata nhi hai mereko
595,604,ek payment karna hai
596,605,neft wagehra
597,606,net banking aata hai
598,607,lekin kya kar sakte hai
599,608,campoos pahuch gaya
600,609,apne college ko aur peers ko
601,610,mai toh itne ka package lekar troll karunga
602,611,ye toh gajab hai
603,612,nothing just a usual thing from govt college in west bengal
604,613,har govt college ki kahani hai
605,614,kahna is best bhai
606,615,tu linkedin nhi chalata hai kya
607,616,mereko ye apne linkedin mein post karna hai kaise karu
608,617,gajab ho gaya bro
609,618,ise jaanta hai
610,619,humko toh shaayad hi milega
611,620,tumko freshers bhi milta hai
612,621,and prakhar ke pravachan
613,622,yashodhar gulati
614,623,aur bhi hai
615,624,isko dekha hai yt pe
616,625,ye aaya aaj college
617,626,bahut soch vichar karne ke baad humne ye decide kiya ki hum train se jaayenge
618,627,ye kya bakchodi hai
619,628,park mein khelne aayega na saala toh utha lenge use
620,629,me and my frnds are planning to kidnap the electronics prof child in csmpus
621,630,urgent hai
622,631,yaha par kisi ko code file kaise bhejte hai pata hai
623,632,irritating hai bahut
624,633,but yaar ye southies yaar
625,634,humara bhi bana hai
626,635,lekin alag alag grp bana hua hai bc
627,636,matlab ki ye south wale arent accepting us
628,637,no no offense
629,638,baaki saare pagal hai
630,639,ye saare south wale chutiye hai
631,640,mere college wale chutiye hai
632,641,ye mere college wale itne chutiye kyu hai
633,642,this is so funny
634,643,check this out
635,644,to do that
636,645,and then another smart person made a automatic slapping machine
637,646,yeah its tru
638,647,and still incomplete
639,648,where a person was trying to cook chicken by slapping it
640,649,a year back
641,650,ooh i saw a vedio
642,651,i see u have mouse with very high sensitivity
643,652,i like the quote the fastest slaps require the strongest wills
644,653,college jaakar bahut kuch hogaya hai iske life mein lagta hai
645,654,sorabh pant se lmao
646,655,aaj kisi bacche ne ye puch liya
647,656,delhi ke colleges are very chill
648,657,dtu is very chill
649,658,audience was amazing
650,659,haan yhi hota hai
651,660,its thee same in here too
652,661,bhai ye toh pura hi tharki jokes maarra hai
653,662,livestream karu
654,663,ye audience bhi bahut tagdi hai
655,664,bahut tagda
656,665,maza aaraha hai
657,666,kya obviously
658,667,especially nonveg jikes
659,668,but levels jokes ka bahut tagda hai
660,669,bhai bas english mein maar raha hai kabhi kabhi
661,670,bhai kya mast joke maaraha hai
662,671,its not allowed
663,672,sorabh pant performing at our college
664,673,i barely passed electronics
665,674,cuz text se baccho ko ghanta samajh aarha tha
666,675,she just moved on to vedio
667,676,this is what going on in my french class now
668,677,i would love to see that
669,678,u are meant to top in everything
670,679,that was school this is college
671,680,i dont trust google
672,681,thats decided
673,682,no u are going to help me
674,683,buckle up buddy
675,684,imma fail in french too
676,685,what the heck is this
677,686,i hate this fucking french and this french teacher
678,687,kaisa college hai bc
679,688,aur sports ke liye bhi nhi hai
680,689,lekin betichodo ke paas hostel banane ke paise nhi hai
681,690,ye mere college ka research ka kharcha hai
682,691,tu jinda kyu hai bsdk
683,692,ooh then i win
684,693,aur toh pata nhi kitne lpa ka package uthayega bhosdiwala
685,694,tu chup reh
686,695,i topped in the subject which i hated the most from the bottom of my heart
687,696,i topped in maths
688,697,never heared of vim
689,698,and pycharm
690,699,i only know
691,700,accha vim code editor
692,701,and he was talking about ethics required by engineers lol
693,702,jaha ka presenter engineering background ka hi nhi tha
694,703,we had a toyota workshop
695,704,why though
696,705,just aise hi
697,706,kottayam is just a district
698,707,there are a ton of places is kerela other than my college
699,708,kerela bhi aayiyo
700,709,where on vacation
701,710,thanks bro
702,711,i support jhadu
703,712,i support only aap
704,713,bhai aaj fotball hai kya
705,714,i really appreciate that
706,715,bhai bday ke din dimaag kharab karraha hai batao
707,716,horrible birthday start
708,717,kal itna chillaya aaj  bc gala baith gaya ekdum
709,718,hair also purple
710,719,why is his face purple
711,720,so imma head out
712,721,now this convo is getting over my head
713,722,but i accept iiit
714,724,i am born genius
715,725,i wait mai wapis kid ban gaya
716,726,i became younger
717,727,kind of yes
718,728,ooh i will for u bro
719,729,no u have to live
720,730,sorry till i become sucessful
721,731,i will send the pics and vedios tomorrow
722,732,it was absolute banger
723,733,bhai aaj nsut ka fest attend kiya
724,735,ye iitians aur inki stupid baatein
725,736,phir baithe baithe so gaya lmao
726,737,yahi salah mere college ke dostho ne diya tha
727,738,ye alarm chalta hi nhi hai mera bc
728,739,aaj maine apna quiz miss kardiya bc
729,740,bros subah jaldi kaise uthte hai
730,741,just informing
731,742,waise mera bhi hai kal
732,743,aur ye do do cantremember kyu dikh rahe hai mereko
733,744,bhai anisha kaha gayi
734,745,bsdk kaise chala gaya tu nit
735,746,isiliye maine nhi bhara nit sikkim cse josaa mein
736,747,murder toh nit sikkim mein hua tha
737,748,ye bhi shi baat hai
738,749,ye bahut funny hai
739,750,aur paise bhi wapis de rahe lol
740,751,toh hybrid mode kar diya
741,752,lekin humne bhi urge kiya
742,753,i mean humko bhi offline bula rahe the
743,754,toh ye toh humara bhi hua
744,755,meri kamayi cheenta hai bsdk
745,756,stenography ke
746,757,aur tu use padh liyo
747,758,apne ek dosth ko bol saare subtitles ko likhne ke liye
748,759,is this tru
749,760,so i wrote a code for a pretty good question
750,761,saala director be like ye kaha phass gaya yaar mai
751,762,bas isiliye nhi jaana tha west bengal
752,763,saare ini mein ye hona chahiye
753,764,this is not fair
754,765,iitkgp inspired by du
755,766,india ka future khatre mein hai
756,768,humare robotics lab mein
757,769,aisa bhi ek hai
758,770,jo ki aadha kaam karta hai
759,771,humanoid robot in our robotics lab
760,772,ye hum bhi use karenge
761,773,abe tu chup reh na
762,774,sab maths wale hai yaha
763,775,isko resources mein daal
764,776,now i am gonna top in maths
765,777,thenks bro
766,778,i always wanted a consice resource
767,779,wahi toh nhi ho raha hai na yaar
768,780,bhai ye euler circuit and euler path kya bakchodi hai
769,781,dekhne se toh p and c ka concept lag raha hai
770,782,what the f is this
771,783,jaa jaakar assignment kar
772,784,mat padh tu
773,785,kahi mera chutiya toh nhi bana rahe hai
774,786,seedha seedha bol na phir
775,787,eeze click kya hota hai
776,788,mera iiit sabse sasta
777,789,ac and collers
778,790,bhai pata nhi mere mein toh hai
779,791,saare iiits mein ac hota hai hostel mein
780,792,are bhai pankha nhi hoga na
781,793,kerela hai nagaland nhi
782,794,pretty sure
783,795,nanga jaana allowed nhi hai campus mein
784,796,ohh yes and clothes too
785,797,sab mil jaayega
786,798,yaha sab sasta hai
787,800,ghar hi utha le bhai
788,801,samajh kuch nhi aaya but sunkar accha laga
789,802,yeah maine kaha ki india ke liye is vedio ko reverse mein chala de
790,803,ye ek iitian ne bheja hai toh mereko no offense
791,804,anything that makes a human work easier is known as a machine famous words by bhencho and my electronics professor
792,805,kisi purane jamane ke train ya plane ka engine lag raha hai
793,806,ise engine nhi kehte
794,807,bhai tu late hai
795,808,russia ab dubne wala hai
796,809,meanwhile putin
797,810,people of russia
798,811,for the rest of hisher life
799,812,every jeeneet aspirant is depressed even after clearing it
800,813,thats why our country has a very low happiness index
801,814,i can gaurantee that
802,815,every avg indian is depressed
803,816,yaha there is all time depression
804,817,atleast once in my lifetime
805,818,i would love to be in a country where there is only night
806,819,us hisaab se toh rajasthan mein sabse jaada suicide rate hona chahiye
807,820,i am talking about both
808,821,korean girlsnice
809,822,india mein hi kyu paida hua mai bc
810,823,these korean shit
811,824,i can gaurantee that
812,825,india will be definitely poor in that too
813,826,and settle there
814,827,is to go to finland
815,828,now main aim
816,829,google mein job is secondary
817,830,definitely comming to finland now
818,831,i am coming in ur country
819,832,i am depressed
820,833,i dont want to live in india
